"play/step","bossfight_200_easy - _step","bossfight_200_easy - _step__MIN","bossfight_200_easy - _step__MAX","bossfight_200_easy - play/episodic_reward","bossfight_200_easy - play/episodic_reward__MIN","bossfight_200_easy - play/episodic_reward__MAX","bossfight_200_easy - test/episodic_reward","bossfight_200_easy - test/episodic_reward__MIN","bossfight_200_easy - test/episodic_reward__MAX"
"36","16","16","16","","","","0","0","0"
"55","0","0","0","0","0","0","","",""
"67","1","1","1","0","0","0","","",""
"97","18","18","18","","","","0","0","0"
"294","21","21","21","","","","0","0","0"
"335","22","22","22","","","","0","0","0"
"433","25","25","25","","","","0","0","0"
"477","26","26","26","","","","0","0","0"
"490","4","4","4","0","0","0","","",""
"515","5","5","5","0","0","0","","",""
"533","6","6","6","0","0","0","","",""
"569","28","28","28","","","","0","0","0"
"610","29","29","29","","","","0","0","0"
"649","30","30","30","","","","0","0","0"
"664","7","7","7","0","0","0","","",""
"719","32","32","32","","","","0","0","0"
"749","33","33","33","","","","0","0","0"
"777","34","34","34","","","","0","0","0"
"871","37","37","37","","","","0","0","0"
"933","38","38","38","","","","0","0","0"
"959","39","39","39","","","","0","0","0"
"1144","43","43","43","0","0","0","","",""
"1180","62","62","62","","","","0","0","0"
"1181","44","44","44","0","0","0","","",""
"1214","63","63","63","","","","0","0","0"
"1225","64","64","64","","","","0","0","0"
"1238","47","47","47","0","0","0","","",""
"1394","66","66","66","","","","0","0","0"
"1433","67","67","67","","","","0","0","0"
"1463","68","68","68","","","","0","0","0"
"1487","69","69","69","","","","0","0","0"
"1488","51","51","51","0","0","0","","",""
"1526","71","71","71","","","","0","0","0"
"1570","54","54","54","0","0","0","","",""
"1727","75","75","75","","","","0","0","0"
"1792","56","56","56","0","0","0","","",""
"1810","77","77","77","","","","0","0","0"
"1839","78","78","78","","","","0","0","0"
"1927","80","80","80","","","","0","0","0"
"1945","81","81","81","","","","0","0","0"
"1962","82","82","82","","","","0","0","0"
"1991","84","84","84","","","","0","0","0"
"2009","85","85","85","","","","0","0","0"
"2077","121","121","121","","","","0","0","0"
"2127","86","86","86","0","0","0","","",""
"2153","122","122","122","","","","0","0","0"
"2155","88","88","88","0","0","0","","",""
"2177","89","89","89","0","0","0","","",""
"2193","123","123","123","","","","0","0","0"
"2218","124","124","124","","","","0","0","0"
"2262","90","90","90","0","0","0","","",""
"2299","125","125","125","","","","0","0","0"
"2322","126","126","126","","","","0","0","0"
"2356","127","127","127","","","","0","0","0"
"2415","92","92","92","0","0","0","","",""
"2440","129","129","129","","","","0","0","0"
"2467","93","93","93","0","0","0","","",""
"2501","94","94","94","0","0","0","","",""
"2538","96","96","96","0","0","0","","",""
"2583","98","98","98","0","0","0","","",""
"2585","132","132","132","","","","0","0","0"
"2604","99","99","99","0","0","0","","",""
"2662","133","133","133","","","","0","0","0"
"2686","134","134","134","","","","0","0","0"
"2710","102","102","102","0","0","0","","",""
"2736","135","135","135","","","","0","0","0"
"2767","104","104","104","0","0","0","","",""
"2824","105","105","105","0","0","0","","",""
"2839","138","138","138","","","","0","0","0"
"2855","106","106","106","0","0","0","","",""
"2879","107","107","107","0","0","0","","",""
"2908","140","140","140","","","","0","0","0"
"2937","141","141","141","","","","0","0","0"
"2969","109","109","109","0","0","0","","",""
"3050","111","111","111","0","0","0","","",""
"3116","172","172","172","","","","0","0","0"
"3140","173","173","173","","","","0","0","0"
"3168","174","174","174","","","","0","0","0"
"3264","175","175","175","","","","0","0","0"
"3338","148","148","148","0","0","0","","",""
"3383","150","150","150","0","0","0","","",""
"3521","152","152","152","0","0","0","","",""
"3815","178","178","178","","","","0","0","0"
"3879","157","157","157","0","0","0","","",""
"3901","158","158","158","0","0","0","","",""
"4014","181","181","181","","","","0","0","0"
"4127","204","204","204","","","","0","0","0"
"4141","183","183","183","0","0","0","","",""
"4192","185","185","185","0","0","0","","",""
"4233","207","207","207","","","","0","0","0"
"4380","187","187","187","0","0","0","","",""
"4393","208","208","208","","","","0","0","0"
"4484","209","209","209","","","","0","0","0"
"4507","188","188","188","0","0","0","","",""
"4538","210","210","210","","","","0","0","0"
"4547","189","189","189","0","0","0","","",""
"4568","190","190","190","0","0","0","","",""
"4638","212","212","212","","","","0","0","0"
"4656","213","213","213","","","","0","0","0"
"4815","216","216","216","","","","0","0","0"
"4892","218","218","218","","","","0","0","0"
"4998","220","220","220","","","","1","1","1"
"5050","221","221","221","","","","0","0","0"
"5108","223","223","223","","","","0","0","0"
"5113","224","224","224","","","","0","0","0"
"5177","226","226","226","0","0","0","","",""
"5404","243","243","243","","","","0","0","0"
"5507","246","246","246","","","","0","0","0"
"5558","227","227","227","11","11","11","","",""
"5677","249","249","249","","","","0","0","0"
"5716","250","250","250","","","","0","0","0"
"5761","251","251","251","","","","0","0","0"
"5777","230","230","230","0","0","0","","",""
"5814","253","253","253","","","","0","0","0"
"5908","254","254","254","","","","0","0","0"
"5940","255","255","255","","","","0","0","0"
"6070","231","231","231","0","0","0","","",""
"6164","286","286","286","","","","0","0","0"
"6274","289","289","289","","","","0","0","0"
"6287","260","260","260","0","0","0","","",""
"6300","261","261","261","0","0","0","","",""
"6310","290","290","290","","","","0","0","0"
"6368","262","262","262","0","0","0","","",""
"6373","291","291","291","","","","0","0","0"
"6423","263","263","263","0","0","0","","",""
"6513","264","264","264","0","0","0","","",""
"6544","265","265","265","0","0","0","","",""
"6577","266","266","266","0","0","0","","",""
"6607","267","267","267","0","0","0","","",""
"6695","296","296","296","","","","1","1","1"
"6733","269","269","269","0","0","0","","",""
"6768","297","297","297","","","","0","0","0"
"6893","300","300","300","","","","0","0","0"
"6903","273","273","273","0","0","0","","",""
"6939","274","274","274","0","0","0","","",""
"6964","275","275","275","0","0","0","","",""
"6972","302","302","302","","","","0","0","0"
"7042","304","304","304","","","","0","0","0"
"7065","305","305","305","","","","0","0","0"
"7103","306","306","306","","","","0","0","0"
"7104","277","277","277","0","0","0","","",""
