"play/step","climber_200_easy - _step","climber_200_easy - _step__MIN","climber_200_easy - _step__MAX","climber_200_easy - play/episodic_reward","climber_200_easy - play/episodic_reward__MIN","climber_200_easy - play/episodic_reward__MAX","climber_200_easy - test/episodic_reward","climber_200_easy - test/episodic_reward__MIN","climber_200_easy - test/episodic_reward__MAX"
"200","9","9","9","","","","0","0","0"
"1000","0","0","0","1","1","1","","",""
"1200","19","19","19","","","","0","0","0"
"1900","20","20","20","","","","11","11","11"
"2000","10","10","10","0","0","0","","",""
"2900","30","30","30","","","","1","1","1"
"3000","21","21","21","0","0","0","","",""
"3900","40","40","40","","","","0","0","0"
"4000","31","31","31","0","0","0","","",""
"4900","49","49","49","","","","0","0","0"
"5000","41","41","41","0","0","0","","",""
"5900","59","59","59","","","","0","0","0"
"6000","50","50","50","0","0","0","","",""
"6900","70","70","70","","","","0","0","0"
"7000","60","60","60","1","1","1","","",""
"7067","61","61","61","0","0","0","","",""
"7345","71","71","71","11","11","11","","",""
"7900","80","80","80","","","","0","0","0"
"7924","81","81","81","","","","0","0","0"
"7944","82","82","82","","","","0","0","0"
"8345","83","83","83","0","0","0","","",""
"8944","92","92","92","","","","0","0","0"
"9345","93","93","93","0","0","0","","",""
"9944","101","101","101","","","","0","0","0"
"10345","102","102","102","0","0","0","","",""
"10888","111","111","111","","","","0","0","0"
"11345","112","112","112","0","0","0","","",""
"11888","121","121","121","","","","0","0","0"
"12065","122","122","122","","","","11","11","11"
"12345","123","123","123","0","0","0","","",""
"12587","124","124","124","0","0","0","","",""
"12667","125","125","125","11","11","11","","",""
"12746","126","126","126","0","0","0","","",""
"13065","135","135","135","","","","0","0","0"
"13746","136","136","136","0","0","0","","",""
"14065","146","146","146","","","","0","0","0"
"14178","137","137","137","0","0","0","","",""
"14424","147","147","147","1","1","1","","",""
"15065","155","155","155","","","","2","2","2"
"15424","156","156","156","0","0","0","","",""
"16065","166","166","166","","","","1","1","1"
"16109","157","157","157","12","12","12","","",""
"16902","177","177","177","","","","0","0","0"
"17109","167","167","167","0","0","0","","",""
"17156","168","168","168","0","0","0","","",""
"17902","187","187","187","","","","0","0","0"
"18156","178","178","178","0","0","0","","",""
"18902","191","191","191","","","","0","0","0"
"19130","192","192","192","","","","0","0","0"
"19156","188","188","188","0","0","0","","",""
"20130","197","197","197","","","","0","0","0"
"20156","193","193","193","0","0","0","","",""
"20240","198","198","198","","","","0","0","0"
"21156","199","199","199","0","0","0","","",""
"21240","209","209","209","","","","0","0","0"
"21340","200","200","200","11","11","11","","",""
"22240","219","219","219","","","","0","0","0"
"22340","210","210","210","0","0","0","","",""
"23240","223","223","223","","","","0","0","0"
"23340","220","220","220","2","2","2","","",""
"24240","230","230","230","","","","0","0","0"
"24340","224","224","224","0","0","0","","",""
"25240","240","240","240","","","","0","0","0"
"25340","231","231","231","0","0","0","","",""
"26240","245","245","245","","","","0","0","0"
"26340","241","241","241","0","0","0","","",""
"26353","246","246","246","","","","11","11","11"
"27340","247","247","247","1","1","1","","",""
"27353","256","256","256","","","","1","1","1"
"28340","257","257","257","0","0","0","","",""
"28353","265","265","265","","","","0","0","0"
"28447","266","266","266","","","","0","0","0"
"29290","276","276","276","","","","0","0","0"
"29340","267","267","267","0","0","0","","",""
"30290","286","286","286","","","","0","0","0"
"30340","277","277","277","0","0","0","","",""
"31290","296","296","296","","","","0","0","0"
"31340","287","287","287","1","1","1","","",""
"32031","297","297","297","0","0","0","","",""
"32055","298","298","298","0","0","0","","",""
"32290","301","301","301","","","","0","0","0"
"33055","302","302","302","0","0","0","","",""
"33290","311","311","311","","","","0","0","0"
"33809","316","316","316","","","","0","0","0"
"34055","312","312","312","0","0","0","","",""
"34809","317","317","317","","","","0","0","0"
"34820","328","328","328","","","","0","0","0"
"35055","318","318","318","0","0","0","","",""
"35820","329","329","329","","","","0","0","0"
"35839","319","319","319","0","0","0","","",""
"36820","338","338","338","","","","0","0","0"
"36839","330","330","330","0","0","0","","",""
"37820","346","346","346","","","","0","0","0"
"37839","339","339","339","0","0","0","","",""
"38270","355","355","355","","","","0","0","0"
"38839","347","347","347","0","0","0","","",""
"39270","365","365","365","","","","0","0","0"
"39839","356","356","356","0","0","0","","",""
"40270","376","376","376","","","","0","0","0"
"40839","366","366","366","0","0","0","","",""
"40946","367","367","367","0","0","0","","",""
"41270","386","386","386","","","","0","0","0"
"41946","377","377","377","0","0","0","","",""
"42270","396","396","396","","","","0","0","0"
"42946","387","387","387","0","0","0","","",""
"43270","405","405","405","","","","0","0","0"
"43946","397","397","397","1","1","1","","",""
"44270","415","415","415","","","","0","0","0"
"44946","406","406","406","0","0","0","","",""
"45270","425","425","425","","","","0","0","0"
"45946","416","416","416","0","0","0","","",""
"46270","435","435","435","","","","0","0","0"
"46946","426","426","426","0","0","0","","",""
"47270","445","445","445","","","","0","0","0"
"47946","436","436","436","0","0","0","","",""
"48270","453","453","453","","","","0","0","0"
"48399","454","454","454","","","","0","0","0"
"48946","446","446","446","0","0","0","","",""
"49008","447","447","447","0","0","0","","",""
"49205","455","455","455","11","11","11","","",""
"49399","458","458","458","","","","0","0","0"
"50205","459","459","459","0","0","0","","",""
"50286","460","460","460","0","0","0","","",""
"50399","467","467","467","","","","0","0","0"
"50487","468","468","468","","","","0","0","0"
"51286","469","469","469","0","0","0","","",""
"51487","472","472","472","","","","0","0","0"
"52286","473","473","473","0","0","0","","",""
"52487","482","482","482","","","","0","0","0"
"53286","483","483","483","0","0","0","","",""
"53487","493","493","493","","","","0","0","0"
"53911","484","484","484","11","11","11","","",""
"54487","503","503","503","","","","0","0","0"
"54911","494","494","494","0","0","0","","",""
"55487","512","512","512","","","","0","0","0"
"55911","504","504","504","0","0","0","","",""
"56487","522","522","522","","","","0","0","0"
"56911","513","513","513","0","0","0","","",""
"57487","529","529","529","","","","0","0","0"
"57911","523","523","523","0","0","0","","",""
"57921","530","530","530","","","","1","1","1"
"58911","531","531","531","0","0","0","","",""
"58921","535","535","535","","","","0","0","0"
"59422","542","542","542","","","","0","0","0"
"59911","536","536","536","0","0","0","","",""
"60422","552","552","552","","","","0","0","0"
"60911","543","543","543","0","0","0","","",""
"61422","553","553","553","","","","0","0","0"
"61911","554","554","554","0","0","0","","",""
"62422","563","563","563","","","","0","0","0"
"62911","564","564","564","0","0","0","","",""
