"play/step","coinrun_500_hard - _step","coinrun_500_hard - _step__MIN","coinrun_500_hard - _step__MAX","coinrun_500_hard - play/episodic_reward","coinrun_500_hard - play/episodic_reward__MIN","coinrun_500_hard - play/episodic_reward__MAX","coinrun_500_hard - test/episodic_reward","coinrun_500_hard - test/episodic_reward__MIN","coinrun_500_hard - test/episodic_reward__MAX"
"507","0","0","0","10","10","10","","",""
"1067","20","20","20","","","","0","0","0"
"1256","22","22","22","","","","0","0","0"
"1917","11","11","11","0","0","0","","",""
"1942","24","24","24","","","","10","10","10"
"2570","35","35","35","","","","10","10","10"
"2610","26","26","26","10","10","10","","",""
"2700","36","36","36","","","","0","0","0"
"3389","51","51","51","","","","10","10","10"
"3579","52","52","52","","","","10","10","10"
"3905","39","39","39","0","0","0","","",""
"3910","54","54","54","","","","0","0","0"
"3990","55","55","55","","","","10","10","10"
"4617","69","69","69","","","","0","0","0"
"4787","58","58","58","0","0","0","","",""
"5353","86","86","86","","","","0","0","0"
"5364","74","74","74","10","10","10","","",""
"6009","92","92","92","","","","0","0","0"
"6199","106","106","106","","","","0","0","0"
"6358","108","108","108","","","","0","0","0"
"6461","110","110","110","","","","0","0","0"
"6727","98","98","98","10","10","10","","",""
"6749","99","99","99","0","0","0","","",""
"6758","114","114","114","","","","10","10","10"
"7079","116","116","116","","","","10","10","10"
"7773","143","143","143","","","","0","0","0"
"8062","145","145","145","","","","10","10","10"
"8428","172","172","172","","","","10","10","10"
"8462","173","173","173","","","","0","0","0"
"8612","151","151","151","0","0","0","","",""
"8769","155","155","155","0","0","0","","",""
"8779","175","175","175","","","","0","0","0"
"8945","176","176","176","","","","0","0","0"
"9008","177","177","177","","","","10","10","10"
"9172","160","160","160","10","10","10","","",""
"9600","200","200","200","","","","10","10","10"
"9638","184","184","184","10","10","10","","",""
"9705","185","185","185","0","0","0","","",""
"9748","202","202","202","","","","0","0","0"
"9892","186","186","186","0","0","0","","",""
"10067","188","188","188","0","0","0","","",""
"10199","190","190","190","10","10","10","","",""
"10268","208","208","208","0","0","0","","",""
"10288","226","226","226","","","","10","10","10"
"10518","212","212","212","0","0","0","","",""
