"play/step","miner_200_easy - _step","miner_200_easy - _step__MIN","miner_200_easy - _step__MAX","miner_200_easy - play/episodic_reward","miner_200_easy - play/episodic_reward__MIN","miner_200_easy - play/episodic_reward__MAX","miner_200_easy - test/episodic_reward","miner_200_easy - test/episodic_reward__MIN","miner_200_easy - test/episodic_reward__MAX"
"99","0","0","0","0","0","0","","",""
"141","10","10","10","","","","1","1","1"
"1021","1","1","1","0","0","0","","",""
"1045","11","11","11","0","0","0","","",""
"1141","22","22","22","","","","0","0","0"
"1263","23","23","23","","","","0","0","0"
"1328","24","24","24","","","","0","0","0"
"1507","12","12","12","2","2","2","","",""
"1870","25","25","25","","","","1","1","1"
"1872","13","13","13","1","1","1","","",""
"2234","26","26","26","0","0","0","","",""
"2870","35","35","35","","","","0","0","0"
"3234","36","36","36","0","0","0","","",""
"3783","37","37","37","2","2","2","","",""
"3870","47","47","47","","","","1","1","1"
"3915","48","48","48","","","","1","1","1"
"3928","38","38","38","1","1","1","","",""
"3955","49","49","49","","","","0","0","0"
"4528","58","58","58","","","","0","0","0"
"4713","59","59","59","","","","0","0","0"
"4794","60","60","60","","","","1","1","1"
"4928","50","50","50","2","2","2","","",""
"5160","61","61","61","1","1","1","","",""
"5506","62","62","62","0","0","0","","",""
"5536","63","63","63","0","0","0","","",""
"5794","73","73","73","","","","0","0","0"
"5975","64","64","64","0","0","0","","",""
"6238","74","74","74","0","0","0","","",""
"6368","75","75","75","1","1","1","","",""
"6794","84","84","84","","","","0","0","0"
"7368","85","85","85","0","0","0","","",""
"7601","86","86","86","0","0","0","","",""
"7794","96","96","96","","","","1","1","1"
"7960","87","87","87","3","3","3","","",""
"8261","97","97","97","0","0","0","","",""
"8374","98","98","98","1","1","1","","",""
"8384","99","99","99","0","0","0","","",""
"8794","108","108","108","","","","0","0","0"
"9384","109","109","109","0","0","0","","",""
"9409","110","110","110","0","0","0","","",""
"9794","120","120","120","","","","0","0","0"
"9838","111","111","111","2","2","2","","",""
"9858","112","112","112","0","0","0","","",""
"10794","130","130","130","","","","0","0","0"
"10858","121","121","121","0","0","0","","",""
"10929","131","131","131","","","","0","0","0"
"11312","143","143","143","","","","0","0","0"
"11723","132","132","132","0","0","0","","",""
"11745","133","133","133","0","0","0","","",""
"11952","134","134","134","0","0","0","","",""
"12312","151","151","151","","","","0","0","0"
"12325","152","152","152","","","","2","2","2"
"12371","153","153","153","","","","0","0","0"
"12530","144","144","144","1","1","1","","",""
"12843","145","145","145","1","1","1","","",""
"13153","154","154","154","","","","2","2","2"
"13843","155","155","155","0","0","0","","",""
"14153","164","164","164","","","","0","0","0"
"14457","165","165","165","0","0","0","","",""
"15153","174","174","174","","","","1","1","1"
"15201","175","175","175","","","","1","1","1"
"15457","176","176","176","0","0","0","","",""
"16201","185","185","185","","","","0","0","0"
"16205","186","186","186","","","","0","0","0"
"16457","187","187","187","0","0","0","","",""
"16699","190","190","190","","","","0","0","0"
"17457","191","191","191","0","0","0","","",""
"17509","192","192","192","0","0","0","","",""
"17699","201","201","201","","","","0","0","0"
"18509","202","202","202","0","0","0","","",""
"18699","211","211","211","","","","0","0","0"
"19509","212","212","212","0","0","0","","",""
"19699","221","221","221","","","","0","0","0"
"20509","222","222","222","0","0","0","","",""
"20699","232","232","232","","","","0","0","0"
"20982","223","223","223","1","1","1","","",""
"21255","224","224","224","1","1","1","","",""
"21699","242","242","242","","","","0","0","0"
"21745","243","243","243","","","","2","2","2"
"22255","233","233","233","0","0","0","","",""
"22745","250","250","250","","","","0","0","0"
"23255","244","244","244","0","0","0","","",""
"23745","260","260","260","","","","0","0","0"
"24255","251","251","251","0","0","0","","",""
"24745","270","270","270","","","","0","0","0"
"25255","261","261","261","0","0","0","","",""
"25745","280","280","280","","","","0","0","0"
"26255","271","271","271","0","0","0","","",""
"26745","290","290","290","","","","0","0","0"
"26797","291","291","291","","","","3","3","3"
"27255","281","281","281","0","0","0","","",""
"27797","300","300","300","","","","0","0","0"
"27879","292","292","292","0","0","0","","",""
"28797","308","308","308","","","","0","0","0"
"28879","301","301","301","0","0","0","","",""
"29797","317","317","317","","","","0","0","0"
"29879","309","309","309","0","0","0","","",""
"30797","327","327","327","","","","0","0","0"
"30879","318","318","318","0","0","0","","",""
"31797","337","337","337","","","","0","0","0"
"31809","338","338","338","","","","0","0","0"
"31879","328","328","328","0","0","0","","",""
"31894","339","339","339","","","","0","0","0"
"32879","340","340","340","0","0","0","","",""
"32894","349","349","349","","","","0","0","0"
"33879","350","350","350","0","0","0","","",""
"33894","359","359","359","","","","0","0","0"
"34031","360","360","360","","","","1","1","1"
"34071","361","361","361","","","","0","0","0"
"34879","362","362","362","0","0","0","","",""
"35071","365","365","365","","","","0","0","0"
"35879","366","366","366","0","0","0","","",""
"36071","375","375","375","","","","0","0","0"
"36879","376","376","376","0","0","0","","",""
"36918","377","377","377","2","2","2","","",""
"37071","386","386","386","","","","0","0","0"
"37918","387","387","387","0","0","0","","",""
"38071","396","396","396","","","","0","0","0"
"38918","397","397","397","0","0","0","","",""
"39071","406","406","406","","","","0","0","0"
"39918","398","398","398","0","0","0","","",""
"40071","416","416","416","","","","0","0","0"
"40097","407","407","407","0","0","0","","",""
"40102","417","417","417","","","","0","0","0"
"41097","418","418","418","0","0","0","","",""
"41102","428","428","428","","","","0","0","0"
"41112","429","429","429","","","","0","0","0"
"41115","419","419","419","0","0","0","","",""
"42112","439","439","439","","","","0","0","0"
"42115","430","430","430","0","0","0","","",""
"42130","440","440","440","","","","1","1","1"
"43115","441","441","441","0","0","0","","",""
"43130","450","450","450","","","","0","0","0"
"43374","451","451","451","","","","0","0","0"
"44115","452","452","452","0","0","0","","",""
"44374","460","460","460","","","","0","0","0"
"44556","461","461","461","","","","1","1","1"
"45115","462","462","462","0","0","0","","",""
"45556","466","466","466","","","","0","0","0"
"45773","467","467","467","","","","1","1","1"
"46115","468","468","468","0","0","0","","",""
"46773","477","477","477","","","","0","0","0"
"47115","478","478","478","0","0","0","","",""
"47773","488","488","488","","","","0","0","0"
"47877","489","489","489","","","","0","0","0"
"48115","479","479","479","1","1","1","","",""
"48877","498","498","498","","","","0","0","0"
"49115","490","490","490","0","0","0","","",""
"49215","499","499","499","1","1","1","","",""
"49877","508","508","508","","","","0","0","0"
"49913","509","509","509","","","","0","0","0"
"50215","510","510","510","0","0","0","","",""
"50913","519","519","519","","","","0","0","0"
"51215","520","520","520","0","0","0","","",""
